"b_OTU_1045" "b_OTU_109" "b_OTU_1093" "b_OTU_11" "b_OTU_112" "b_OTU_1191" "b_OTU_1200" "b_OTU_123" "b_OTU_13" "b_OTU_1431" "b_OTU_153" "b_OTU_17" "b_OTU_171" "b_OTU_18" "b_OTU_182" "b_OTU_20" "b_OTU_21" "b_OTU_22" "b_OTU_23" "b_OTU_235" "b_OTU_24" "b_OTU_25" "b_OTU_26" "b_OTU_27" "b_OTU_29" "b_OTU_304" "b_OTU_31" "b_OTU_329" "b_OTU_33" "b_OTU_34" "b_OTU_35" "b_OTU_36" "b_OTU_364" "b_OTU_37" "b_OTU_39" "b_OTU_41" "b_OTU_42" "b_OTU_44" "b_OTU_443" "b_OTU_444" "b_OTU_447" "b_OTU_46" "b_OTU_47" "b_OTU_48" "b_OTU_49" "b_OTU_51" "b_OTU_548" "b_OTU_55" "b_OTU_56" "b_OTU_57" "b_OTU_58" "b_OTU_59" "b_OTU_60" "b_OTU_625" "b_OTU_63" "b_OTU_662" "b_OTU_69" "b_OTU_72" "b_OTU_73" "b_OTU_74" "b_OTU_76" "b_OTU_8" "b_OTU_81" "b_OTU_87" "b_OTU_90" "b_OTU_98" "f_OTU_1" "f_OTU_2" "f_OTU_3" "f_OTU_4" "f_OTU_5" "f_OTU_6" "f_OTU_7" "f_OTU_8" "f_OTU_9" "f_OTU_10" "f_OTU_12" "f_OTU_13" "f_OTU_15" "f_OTU_17" "f_OTU_19" "f_OTU_20" "f_OTU_23" "f_OTU_24" "f_OTU_25" "f_OTU_26" "f_OTU_27" "f_OTU_28" "f_OTU_29" "f_OTU_30" "f_OTU_32" "f_OTU_33" "f_OTU_39" "f_OTU_40" "f_OTU_43" "f_OTU_46" "f_OTU_57" "f_OTU_63" "f_OTU_65" "f_OTU_68" "f_OTU_79" "f_OTU_317" "f_OTU_576" "f_OTU_579" "f_OTU_662" "f_OTU_672" "f_OTU_1011" "f_OTU_1085" "f_OTU_1090" "f_OTU_1141" "f_OTU_1278" "f_OTU_1567" "f_OTU_1656" "E_alphitoides"
"A1.02" 0 0 0 6 146 1 6 6 68 0 41 33 0 322 0 5 468 0 16 6 1 0 2112 34 1 0 16 10 0 1669 4 3 19 28 1585 4 4 23 0 1 0 3 12 2 2 7 403 0 6 9 30 5 10 8 5 0 4 7 28 12 35 114 1 4 288 1 72 5 131 0 4 6 11 5 12 8 1181 21 514 11 6 26 4 4 0 9 2 0 2 3 0 3 10 0 0 8 1 1 1 10 0 0 4 0 8 4 89 17 0 6 106 2 3 0
"A1.03" 0 0 0 0 0 1 0 0 4 1 0 0 0 4 0 2 2 2 57 0 0 0 4 74 0 0 0 0 0 3 1 0 2 0 2 0 0 0 0 1 0 0 0 0 0 17 1 0 13 31 0 0 7 13 9 0 1 0 0 14 0 18 28 1 2 6 516 14 362 0 0 13 3 78 8 43 9 20 1 12 115 40 19 4 0 53 4 0 6 4 0 56 1 7 0 21 4 23 7 0 0 0 11 0 39 0 41 9 0 8 224 5 3 0
"A1.04" 0 0 0 2 0 0 0 0 128 0 1 1 0 2 0 0 3 0 10 0 0 0 2 51 1 1 1 1 0 1 3 0 5 2 5 2 1 0 0 0 0 0 1 0 0 3 1 0 6 25 2 0 2 4 3 0 0 0 0 5 2 27 4 1 3 0 305 24 238 0 1 37 5 50 20 75 1 28 2 6 26 58 16 17 0 54 2 2 1 2 0 20 0 19 11 63 0 12 12 2 0 0 19 0 13 8 137 36 0 24 295 9 5 0
"A1.05" 0 0 0 1 1 1 0 4 121 1 0 2 6 16 0 8 4 8 10 2 3 1 2 28 4 2 0 6 0 4 1 9 19 9 1 15 5 0 0 2 3 3 3 0 0 7 0 0 9 18 0 0 0 8 13 0 10 2 0 7 3 77 5 1 2 8 152 10 380 0 2 0 79 28 48 13 3 81 0 2 16 80 110 10 105 33 5 0 19 13 0 8 0 20 17 97 3 46 15 0 0 2 51 0 50 13 102 174 0 8 194 6 28 0
"A1.06" 0 0 0 4 1 1 1 0 113 0 2 0 0 11 0 0 2 2 15 1 0 0 2 33 1 0 1 1 1 5 0 2 12 10 3 3 9 0 0 2 0 2 7 1 0 2 1 0 2 19 3 0 12 7 8 0 5 2 5 2 4 116 2 1 0 5 529 6 440 0 1 59 20 70 17 147 3 14 0 96 67 45 29 9 2 22 41 2 0 1 0 11 69 5 0 14 3 34 48 1 0 0 8 0 92 10 40 1 0 3 96 38 23 0
"A1.07" 0 0 0 77 2 20 0 20 90 57 0 5 1 460 0 56 4 22 82 41 0 0 3 30 10 0 2 29 1 1 11 115 6 98 5 4 5 27 6 1 0 21 60 30 0 15 1 1 11 15 6 1 2 9 18 0 72 2 31 6 4 911 13 8 0 4 317 12 752 0 0 9 148 32 173 73 7 23 0 100 20 20 7 17 30 17 20 0 7 41 0 8 63 11 1 31 3 6 5 1 0 0 55 0 108 79 63 29 0 9 216 20 30 0
"A1.08" 0 0 0 21 2 3 0 11 316 15 1 4 0 26 0 9 4 2 34 16 1 3 8 30 7 1 4 13 3 5 0 0 32 45 2 4 5 0 0 4 1 2 4 5 0 12 0 3 18 10 20 1 3 3 4 0 17 8 2 2 7 277 6 5 2 5 200 21 726 0 0 32 12 16 19 40 22 82 1 27 6 41 15 53 8 16 33 1 0 8 0 14 18 9 0 30 13 25 22 3 0 0 52 0 55 3 44 70 0 10 290 79 47 0
"A1.09" 0 0 0 27 4 3 0 8 424 115 0 4 0 32 0 19 2 0 107 102 1 0 9 75 12 0 0 32 0 8 36 0 56 81 9 14 0 7 0 10 0 34 68 67 1 7 1 1 30 16 15 2 31 12 34 1 20 5 48 9 15 634 23 16 1 15 158 2 686 0 0 36 47 31 57 58 0 32 2 93 18 6 7 13 119 5 33 0 5 12 0 8 13 8 0 18 0 5 7 6 0 0 14 0 37 2 29 23 0 26 94 34 29 2
"A1.10" 0 0 0 7 42 0 7 2 312 6 4 2 1 15 0 3 40 1 40 1 1 0 15 39 10 0 1 6 3 43 0 6 44 15 5 4 0 0 0 0 0 9 2 17 4 19 13 1 13 13 35 6 4 1 15 0 5 2 13 3 1 158 21 2 1 12 88 15 404 0 0 81 8 7 64 49 7 77 3 10 8 18 22 12 5 9 3 1 3 16 0 20 5 26 7 74 1 7 4 2 1 0 4 0 19 2 74 145 0 12 356 30 2 0
"A1.11" 0 0 0 7 2 0 0 4 72 4 1 34 0 10 0 3 10 2 100 1 0 0 13 60 0 0 0 0 2 5 10 7 5 3 6 1 3 42 0 2 0 18 21 1 0 11 0 0 9 19 0 0 2 16 16 0 8 1 6 7 13 103 23 13 2 9 297 2 173 0 3 36 44 92 27 461 1 68 5 40 77 18 18 10 2 17 18 8 6 4 0 86 30 10 11 78 0 81 46 21 21 0 4 0 10 53 73 8 0 33 148 5 5 2
