"Sample" "tree" "branch" "leafNo" "distTObase" "distTOtrunk" "distTOground" "pmInfection" "orientation" "readsTOTfun" "readsTOTbac"
"A1.02" "A1.02" "intermediate" 1 2 217 202 155.5 1 "SW" 2488 8315
"A1.03" "A1.03" "intermediate" 1 3 187 175 144.5 0 "SW" 2054 662
"A1.04" "A1.04" "intermediate" 1 4 180 168 141.5 0 "SW" 2122 480
"A1.05" "A1.05" "intermediate" 1 5 159 148 134.5 1 "SW" 2625 674
"A1.06" "A1.06" "intermediate" 1 6 147.5 138 130.5 1 "SW" 2469 643
"A1.07" "A1.07" "intermediate" 1 7 146 136 129.5 1 "SW" 3156 3096
"A1.08" "A1.08" "intermediate" 1 8 123 115 121.5 1 "SW" 2513 1347
"A1.09" "A1.09" "intermediate" 1 9 94.5 88 111.5 5 "SW" 2083 2780
"A1.10" "A1.10" "intermediate" 1 10 84.5 79 107.5 1 "SW" 2117 1346
"A1.11" "A1.11" "intermediate" 2 11 217 198 212 0 "SW" 2522 1042
"A1.12" "A1.12" "intermediate" 2 12 200 182 205 0 "SW" 2481 533
"A1.13" "A1.13" "intermediate" 2 13 183.5 167 198 0 "SW" 2746 1272
"A1.14" "A1.14" "intermediate" 2 14 171 156 193 1 "SW" 2305 836
"A1.15" "A1.15" "intermediate" 2 15 164 150 190 1 "SW" 1202 1192
"A1.16" "A1.16" "intermediate" 2 16 123.5 112 174 1 "SW" 1451 329
"A1.17" "A1.17" "intermediate" 2 17 117 107 171 2 "SW" 2693 779
"A1.18" "A1.18" "intermediate" 2 18 106 97 166 7 "SW" 2103 660
"A1.19" "A1.19" "intermediate" 2 19 81 74 156 1 "SW" 2560 482
"A1.20" "A1.20" "intermediate" 2 20 61.5 56 148 0 "SW" 1958 294
"A1.21" "A1.21" "intermediate" 3 21 337 315 245 4 "NE" 2510 454
"A1.22" "A1.22" "intermediate" 3 22 319 298 239 1 "NE" 2638 877
"A1.23" "A1.23" "intermediate" 3 23 283 264 226 1 "NE" 2421 656
"A1.24" "A1.24" "intermediate" 3 24 241 225 211 1 "NE" 2259 509
"A1.25" "A1.25" "intermediate" 3 25 214 200 201 2 "NE" 1755 1941
"A1.26" "A1.26" "intermediate" 3 26 177.5 166 188 10 "NE" 2183 823
"A1.28" "A1.28" "intermediate" 3 28 143.5 134 176 1 "NE" 2156 1014
"A1.29" "A1.29" "intermediate" 3 29 133 124 172 1 "NE" 2375 495
"A1.30" "A1.30" "intermediate" 3 30 116 109 166 1 "NE" 1822 517
"A1.31" "A1.31" "intermediate" 4 31 247 234 240 0 "NE" 2585 2440
"A1.32" "A1.32" "intermediate" 4 32 238 226 237 0 "NE" 1765 425
"A1.33" "A1.33" "intermediate" 4 33 210 199 228 0 "NE" 1475 244
"A1.34" "A1.34" "intermediate" 4 34 189 179 221 0 "NE" 1737 657
"A1.35" "A1.35" "intermediate" 4 35 154.5 147 210 0 "NE" 2341 479
"A1.36" "A1.36" "intermediate" 4 36 134 127 204 0 "NE" 2241 857
"A1.37" "A1.37" "intermediate" 4 37 114 108 197 1 "NE" 2096 552
"A1.38" "A1.38" "intermediate" 4 38 102 97 194 2 "NE" 2384 413
"A1.39" "A1.39" "intermediate" 4 39 83.5 79 188 0 "NE" 2412 951
"A1.40" "A1.40" "intermediate" 4 40 67.5 64 183 1 "NE" 2187 397
"A2.01" "A2.01" "susceptible" 1 1 262.5 253 142 7 "SW" 2197 761
"A2.02" "A2.02" "susceptible" 1 2 257 247 141 20 "SW" 1811 1822
"A2.03" "A2.03" "susceptible" 1 3 248 239 138 30 "SW" 1799 4071
"A2.04" "A2.04" "susceptible" 1 4 238 229 135 35 "SW" 1635 1314
"A2.05" "A2.05" "susceptible" 1 5 227.5 219 133 7 "SW" 2266 489
"A2.06" "A2.06" "susceptible" 1 6 221 213 131 1 "SW" 2023 303
"A2.07" "A2.07" "susceptible" 1 7 207 199 127 2 "SW" 2635 902
"A2.08" "A2.08" "susceptible" 1 8 174 168 118 50 "SW" 2248 2276
"A2.09" "A2.09" "susceptible" 1 9 154 148 113 3 "SW" 2538 312
"A2.10" "A2.10" "susceptible" 1 10 126 121 105 80 "SW" 2539 8394
"A2.11" "A2.11" "susceptible" 2 11 249 154 224 7 "SW" 2967 996
"A2.12" "A2.12" "susceptible" 2 12 240 156 226 0 "SW" 3008 252
