"b_OTU_1045" "b_OTU_109" "b_OTU_1093" "b_OTU_11" "b_OTU_112" "b_OTU_1191" "b_OTU_1200" "b_OTU_123" "b_OTU_13" "b_OTU_1431" "b_OTU_153" "b_OTU_17" "b_OTU_171" "b_OTU_18" "b_OTU_182" "b_OTU_20" "b_OTU_21" "b_OTU_22" "b_OTU_23" "b_OTU_235" "b_OTU_24" "b_OTU_25" "b_OTU_26" "b_OTU_27" "b_OTU_29" "b_OTU_304" "b_OTU_31" "b_OTU_329" "b_OTU_33" "b_OTU_34" "b_OTU_35" "b_OTU_36" "b_OTU_364" "b_OTU_37" "b_OTU_39" "b_OTU_41" "b_OTU_42" "b_OTU_44" "b_OTU_443" "b_OTU_444" "b_OTU_447" "b_OTU_46" "b_OTU_47" "b_OTU_48" "b_OTU_49" "b_OTU_51" "b_OTU_548" "b_OTU_55" "b_OTU_56" "b_OTU_57" "b_OTU_58" "b_OTU_59" "b_OTU_60" "b_OTU_625" "b_OTU_63" "b_OTU_662" "b_OTU_69" "b_OTU_72" "b_OTU_73" "b_OTU_74" "b_OTU_76" "b_OTU_8" "b_OTU_81" "b_OTU_87" "b_OTU_90" "b_OTU_98" "f_OTU_1" "f_OTU_2" "f_OTU_3" "f_OTU_4" "f_OTU_5" "f_OTU_6" "f_OTU_7" "f_OTU_8" "f_OTU_9" "f_OTU_10" "f_OTU_12" "f_OTU_13" "f_OTU_15" "f_OTU_17" "f_OTU_19" "f_OTU_20" "f_OTU_23" "f_OTU_24" "f_OTU_25" "f_OTU_26" "f_OTU_27" "f_OTU_28" "f_OTU_29" "f_OTU_30" "f_OTU_32" "f_OTU_33" "f_OTU_39" "f_OTU_40" "f_OTU_43" "f_OTU_46" "f_OTU_57" "f_OTU_63" "f_OTU_65" "f_OTU_68" "f_OTU_79" "f_OTU_317" "f_OTU_576" "f_OTU_579" "f_OTU_662" "f_OTU_672" "f_OTU_1011" "f_OTU_1085" "f_OTU_1090" "f_OTU_1141" "f_OTU_1278" "f_OTU_1567" "f_OTU_1656" "E_alphitoides"
"A1.02" 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 8315 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488 2488
"A1.03" 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 662 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 2054
"A1.04" 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122 2122
"A1.05" 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 674 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625 2625
"A1.06" 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 643 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469 2469
"A1.07" 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3096 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156 3156
"A1.08" 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 1347 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513 2513
"A1.09" 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083 2083
"A1.10" 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 1346 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117
"A1.11" 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 1042 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522 2522
